Modulname,Semester,CreditPoints,Typ,,,,,,
Höhere Mathematik 1 für Wirtschaftsinformatik   ,1,9,P,,,,,,
Grundlagen der Informatik und höhere Programmiersprache für Wirtschaftsinformatik,1,10,P,,,,,,
Grundlagen der BWL (Wirtschaftsinformatik)    ,1,5,P,,,,,,
Einführung in die Wirtschaftsinformatik    ,1,5,P,,,,,,
Höhere Mathematik 2 für Wirtschaftsinformatik   ,2,6,P,,,,,,
Algorithmen und Datenstrukturen für Wirtschaftsinformatik   ,2,8,P,,,,,,
Marketing (Wirtschaftsinformatik)      ,2,5,P,,,,,,
Buchführung und Rechnungslegung (Wirtschaftsinformatik und Wirtschaftsingenieurwesen)  ,2,5,P,,,,,,
Informationsmanagement       ,2,5,P,,,,,,
Softskill-Wahlmodul 1      ,2,2,S,,,,,,
Datenbanken und Webtechnologien für Wirtschaftsinformatik   ,3,8,P,,,,,,
Grundlagen der Volkswirtschaftslehre (Wirtschaftsinformatik und Wirtschaftsingenieurwesen)  ,3,5,P,,,,,,
Kostenrechnung (Wirtschaftsinformatik)      ,3,5,P,,,,,,
Software-Lifecycle für Wirtschaftsinformatik     ,3,5,P,,,,,,
Business Information Systems (insbes. ERP)   ,3,6,P,,,,,,
Softskill-Wahlmodul 2      ,3,2,S,,,,,,
Datennetze und IT-Sicherheit für Wirtschaftsinformatik   ,4,8,P,,,,,,
Statistik für Wirtschaftsinformatik     ,4,5,P,,,,,,
Operations Management (deutsch)     ,4,5,P,,,,,,
Einführung in das Controlling (Wirtschaftsinformatik)   ,4,5,P,,,,,,
Wahlmodul Informatik 1     ,4,6,W,,,,,,
Recht (Wirtschaftsinformatik)      ,5,6,P,,,,,,
Wahlmodul Informatik 2     ,5,6,W,,,,,,
Wahlmodul BWL 1     ,5,5,W,,,,,,
Wahlmodul BWL 2     ,5,5,W,,,,,,
Interdisziplinäres Projekt Wirtschaftsinformatik     ,5,8,P,,,,,,
Praxisprojekt       ,6,15,P,,,,,,
Bachelorarbeit       ,6,12,P,,,,,,
Bachelorkolloquium       ,6,3,P,,,,,,
       ,,,,,,,,,
       ,,,,,,,,,
       ,,,,,,,,,
       ,,,,,,,,,
       ,,,,,,,,,
       ,,,,,,,,,
       ,,,,,,,,              ,       
       ,,,,,,,,              ,       
       ,,,,,,,,              ,       